كفايات التنشئة الوطنية ومعاييرها للصفوف 3-4
1447هـ/ 2026م
كفايات ومعايير التنشئة الوطنية للصف الرابع الأساسي
[TABLE 1]
المجالات | الكفايات الرئيسة | الكفايات الفرعية | المعايير | المؤشرات | المؤشرات | المؤشرات
مدنيات | حقوق الطفل والعيش الآمن والصحي | اتخاذ مواقف رافضة للعنف ومؤيدة لحقوق الطفل. | ابداء رأيه في مواقف العنف المختلفة مثل الآتية: (الضرب، العمل، الحرمان من المصروف، عدم وجود إشارات مرور في شارع المدرسة، عدم توفر العلاج، الحاجز العسكري في طريق المدرسة). | يوضح السلوك الصحيح في مواقف العنف المختلفة بدقة، ويبين أثرها في سلامة الطفل وحقوقه بأمثلة واضحة ومتنوعة. / يبدي رأيه بطلاقة ووضوح في مواقف مطروحة مثل (الضرب، العمل، الحرمان من المصروف، عدم وجود إشارات مرور في شارع المدرسة، عدم توفر العلاج، الحاجز العسكري في طريق المدرسة)، ويعبر عنه بأسلوب محترم، ويقترح حلولاً واقعية ومناسبة لحماية الطفل وتعزيز حقوقه.  / يُظهر رفضاً واضحاً لجميع أشكال العنف، ويدافع عن قيم العدالة واحترام حقوق الطفل وكرامته في مختلف المواقف. | يوضح السلوك الصحيح في بعض مواقف العنف ويذكر آثارها بصورة عامة. / يعبر عن رأيه في بعض المواقف ويقترح حلولاً بسيطة مع حاجة إلى التوجيه. / يُظهر احتراماً للحقوق ورفضاً للعنف في معظم المواقف الصفية والحياتية. | يذكر معلومات بسيطة أو غير مكتملة حول التعامل مع مواقف العنف. / يحتاج إلى مساعدة وتوجيه للتعبير عن رأيه في بعض مواقف العنف، واقتراح بعض الحلول. / يُظهر وعياً محدوداً بأهمية رفض العنف واحترام الحقوق ويحتاج إلى تعزيز هذه القيم.
مدنيات | حقوق الطفل والعيش الآمن والصحي | التصرف السليم في المواقف الخطرة والطارئة. | يبين كيف يتصرف في الحالات الآتية: يشاهد طفلا يلعب بمخلفات الحرب، يشاهد شخصا يسبح في المناطق التي تمنع فيها السباحة، طالب يطلق عليه ألقابا مزعجة). | يوضح التصرفات السليمة في المواقف الخطرة والطوارئ بدقة، ويقدم إجابات مقنعة ومناسبة للموقف توضح كيفية حماية النفس والآخرين، مثل الحالات التالية: (يشاهد طفلا يلعب بمخلفات الحرب، يشاهد شخصا يسبح في المناطق التي تمنع فيها السباحة، طالب يطلق عليه ألقابا مزعجة).  / يطبق إجراءات السلامة المناسبة بثقة ودقة في المواقف المختلفة، ويختار التصرف الأكثر أماناً لحماية نفسه والآخرين.  / يُظهر مسؤولية عالية وحرصاً واضحاً على سلامته وسلامة الآخرين، ويشجع زملاءه على الالتزام بإجراءات السلامة. | يوضح التصرفات السليمة في معظم المواقف الخطرة ويقدم إجابات مناسبة بصورة عامة. / يطبق معظم إجراءات السلامة بصورة صحيحة مع حاجة إلى بعض التوجيه. / يُظهر حرصاً على السلامة الشخصية وسلامة الآخرين في معظم المواقف. | يذكر بعض التصرفات السليمة بصورة بسيطة أو غير مكتملة. / يحتاج إلى دعم وارشاد لتطبيق إجراءات السلامة. / يُظهر وعياً محدوداً بقواعد السلامة ويحتاج إلى تعزيز الشعور بالمسؤولية.
مدنيات | حقوق الطفل والعيش الآمن والصحي | إدراك أهمية الغذاء الصحي للطفل. | الوعي ب حقه في الغذاء، وأهميته. | يوضح أهمية الغذاء الصحي بدقة، ويبين دوره في النمو والصحة والطاقة والوقاية من الأمراض مع أمثلة واضحة ومتنوعة. / يقارن بدقة بين مصادر الغذاء النباتية والحيوانية، ويقدم أمثلة متنوعة لكل منهما، ويربط بوضوح بين الغذاء الصحي والحياة السليمة.  / يُظهر حرصاً واضحاً على اتباع عادات غذائية صحية في حياته اليومية، ويختار الأغذية المفيدة لصحة جسمه. | يوضح أهمية الغذاء الصحي ويذكر بعض جوانبه مثل النمو أو الطاقة بصورة عامة.  / يقارن بين بعض مصادر الغذاء النباتية والحيوانية ويذكر أمثلة محدودة مع ربط عام بالصحة. / يُظهر اهتماماً بالعادات الغذائية الصحية في معظم المواقف الصفية والحياتية. | يحتاج إلى دعم لفهم أهمية الغذاء. / يذكر معلومات محدودة عن الغذاء الصحي. / يقارن بين مصادر الغذاء النباتية، والحيوانية، بمساعدة ودعم ويعطي مثالا لكل منها. / يُظهر حرصاً محدوداً على العادات الغذائية الصحية ويحتاج إلى تعزيز السلوك الصحي.
مدنيات | حقوق الطفل والعيش الآمن والصحي | اختيار الغذاء الصحي المناسب. | التمييز بين الغذاء الصحي وغير الصحي. | يُظهر فهماً دقيقاً لمفهوم الغذاء الصحي وتنوعه، ويشرح العادات الصحية المرتبطة به مثل فحص تاريخ الصلاحية، والتعامل السليم مع الأغذية المعلبة، وغسل الخضار والفواكه مع أمثلة واضحة.  / يميز بدقة بين الأطعمة الصحية وغير الصحية، ويختار وجبات صحية مناسبة في مواقف يومية متنوعة بشكل واعٍ وصحيح. /  يُظهر وعياً واضحاً بأهمية الغذاء الصحي، ويلتزم بعادات غذائية سليمة تسهم في الحفاظ على صحته ونشاطه. | يُظهر فهماً عاماً لمفهوم الغذاء الصحي ويذكر بعض العادات الصحية المرتبطة به. / يميز بين معظم الأطعمة الصحية وغير الصحية ويختار بعض الوجبات الصحية مع حاجة إلى توجيه بسيط. يحاول التمييز بين الأطعمة  / يُظهر اهتماماً بالغذاء الصحي في معظم المواقف الصفية والحياتية. | يظهر فهما محدودا لمفهوم الغذاء الصحي، وتنوعه، والعادات الصحية التي يتبعها في تناول الغذاء.  / يخلط بين الغذاء الصحي وغير الصحي، ويحتاج إلى توجيه في اختيار الوجبات الصحية. /  يُظهر وعياً محدوداً بأهمية الغذاء الصحي ويحتاج إلى تعزيز السلوك الغذائي السليم.
مدنيات | حقوق الطفل والعيش الآمن والصحي | تطبيق السلوكيات الغذائية الصحية عملياً. | المشاركة في إعداد وجبة صحية. | يحدد مكونات الوجبة الصحية المتكاملة بدقة، ويذكر عناصرها الأساسية مثل البروتينات والخضار والفواكه والألبان مع أمثلة واضحة. / يشارك بفاعلية في إعداد وجبة فطور صحية، ويطبق خطوات العمل بطريقة منظمة وآمنة ويستخدم الأدوات بشكل صحيح.  / يُظهر تعاوناً واضحاً مع الآخرين واهتماماً بالممارسات الصحية، ويلتزم بالسلوكيات الغذائية السليمة. | يحدد بعض مكونات الوجبة الصحية المتكاملة بصورة عامة. / يشارك في إعداد الوجبة الصحية مع بعض التوجيه أو الحاجة إلى تنظيم أكثر. / يُظهر تعاوناً واهتماماً بالممارسات الصحية في معظم المواقف الصفية. | يذكر مكونات محدودة للوجبة الصحية. /  يحتاج إلى دعم للمشاركة في إعداد الوجبة. /  يُظهر تعاوناً واهتماماً محدوداً ويحتاج إلى تعزيز السلوك الصحي التعاوني.
مدنيات | حقوق الطفل والعيش الآمن والصحي | إدراك حق الطفل في الرعاية الصحية. | استنتاج حقه في الرعاية الصحية. | يوضح حق الطفل في الرعاية الصحية بدقة، ويشرح أهمية العلاج والتطعيم والأدوية والتأمين الصحي والنشرات الصحية وأثرها على صحة الطفل وجودة حياته.  / يربط بدقة بين الرعاية الصحية وجودة الحياة، ويعطي أمثلة واضحة تبيّن أثر الخدمات الصحية على تحسين حياة الفرد والمجتمع. / يُظهر تقديراً واضحاً للخدمات الصحية، ويحرص على الاستفادة منها ويحترم العاملين في القطاع الصحي. | يوضح حق الطفل في الرعاية الصحية ويذكر بعض خدماتها وأثرها بصورة عامة.  / يربط بين الرعاية الصحية وجودة الحياة بصورة عامة مع حاجة إلى بعض التوضيح.  / يُظهر احتراماً وتقديراً للخدمات الصحية في معظم المواقف الصفية والحياتية. | يذكر معلومات محدودة حول حق الطفل في الرعاية الصحية. / يحتاج إلى دعم وتوجيه للربط بين الرعاية الصحية وجودة الحياة. / يُظهر تقديراً محدوداً للخدمات الصحية ويحتاج إلى تعزيز الوعي بأهميتها.
مدنيات | حقوق الطفل والعيش الآمن والصحي | التعرف إلى مؤسسات الرعاية الصحية في المجتمع. | التعرف على أسماء المؤسسات الحكومية التي تقدم الرعاية الصحية. | يسمي المؤسسات الصحية الحكومية بدقة، ويشرح دور المستشفيات والعيادات التي تشرف عليها وزارة الصحة، والمراكز الصحية التابعة لوكالة غوث اللاجئين في تقديم الخدمات الصحية للمجتمع.  / يحدد بدقة الجهة الصحية المناسبة لكل حالة أو موقف صحي، ويختار الخدمة الملائمة بشكل صحيح.  / يُظهر احتراماً واضحاً للمؤسسات الصحية والعاملين فيها، ويقدّر جهودهم في خدمة المجتمع. | يسمي بعض المؤسسات الصحية ويذكر أدوارها بصورة عامة.  / يحدد بعض الجهات الصحية المناسبة مع حاجة إلى توجيه في مواقف معينة. / يُظهر احتراماً للمؤسسات الصحية والعاملين فيها في معظم المواقف الصفية والحياتية. | يذكر أسماء بعض المؤسسات الصحية. /  يحتاج إلى دعم لفهم دور المؤسسات الصحية. / يُظهر احتراماً محدوداً للمؤسسات الصحية ويحتاج إلى تعزيز قيمة التقدير.
مدنيات | حقوق الطفل والعيش الآمن والصحي | الالتزام بالسلوكيات الصحية السليمة. | استنتاج السلوكات والواجبات ذات العلاقة بالرعاية الصحية. | يوضح السلوكيات والواجبات الصحية السليمة بدقة، ويشرحها مع أمثلة واضحة، (مثل النظافة والتغذية والنشاط البدني)، ويبين السلوك الصحيح داخل مراكز الرعاية الصحية ويعبر عنها بصورة منظمة، (مثل: احترام النظام، والمواعيد، والتزام الهدوء وتعليمات الطبيب، والمحافظة على النظافة، وعدم العبث بالأجهزة الطبية).  / يطبق العادات الصحية السليمة بشكل منتظم في حياته اليومية مثل النظافة والتغذية والنشاط البدني، ويلتزم بالسلوكيات الصحيحة عند زيارة المراكز الصحية.  / يُظهر مسؤولية واضحة تجاه صحته وصحة الآخرين، ويلتزم بالسلوكيات الصحية ويشجع الآخرين عليها. | يوضح معظم السلوكيات الصحية السليمة ويذكر بعض السلوكيات داخل مراكز الرعاية الصحية بصورة عامة. / يطبق بعض العادات الصحية في حياته اليومية مع حاجة إلى التذكير أو التوجيه. /  يُظهر اهتماماً بصحته وصحة الآخرين في معظم المواقف الصفية والحياتية. | يذكر سلوكيات صحية، أو سلوكيات زيارة المراكز الصحية بشكل محدود. / يحتاج إلى دعم لتطبيق العادات الصحية الصحيحة. /  يُظهر مسؤولية محدودة تجاه الصحة ويحتاج إلى تعزيز السلوك الصحي الإيجابي.
حقوقي | التعلم والتعلم الذاتي وتحمل المسؤولية في التطور الذاتي | إدراك أهمية الحق في التعليم والمسؤولية تجاهه. | التعرف على حقه في التعليم، والتعبير عن حقه تجاه كل من معلمه وأسرته في الحصول على التعليم. | يوضح حق الطفل في التعليم بدقة، ويبيّن بوضوح دور الأسرة والمعلم في دعمه. / يعبر بطلاقة واحترام عن حقه في بيئة مدرسية مناسبة تشمل الصف الجميل، والمعلم الداعم، والمكتبة، والمختبر، والملاعب، ويبين حقه على أسرته ومعلمه بوضوح. / يُظهر اهتماماً واضحاً بالتعلم، ويلتزم بالواجبات ويستثمر الفرص التعليمية بإيجابية. | يوضح حق الطفل في التعليم مع ذكر بعض أدوار الأسرة أو المعلم. / يعبر عن بعض حقوقه التعليمية بأسلوب مفهوم مع حاجة إلى دعم في التنظيم أو التوضيح. / يُظهر تقديراً للتعليم ويلتزم أحياناً بمتطلبات التعلم والواجبات الدراسية. | يذكر معلومات بسيطة أو غير مكتملة حول حق الطفل في التعليم. / يحاول التعبير عن حقوقه التعليمية بكلمات أو أفكار محدودة وغير مترابطة. / يُظهر اهتماماً محدوداً بالتعلم ويحتاج إلى تشجيع للالتزام والاستفادة من فرص التعلم.
حقوقي | التعلم والتعلم الذاتي وتحمل المسؤولية في التطور الذاتي | تحمل المسؤولية تجاه التعلم والالتزام المدرسي. | استنتاج مسؤولياته تجاه حقه في التعليم | يوضح مسؤولياته تجاه التعلم بدقة، ويذكر أمثلة متنوعة على الالتزام والانضباط المدرسي. / يطبق السلوكيات الإيجابية باستمرار، مثل الالتزام بالنظام، والمحافظة على الممتلكات، واحترام المعلمين والزملاء. / يُظهر التزاماً واضحاً بالمسؤولية والانضباط، ويحافظ على البيئة المدرسية ويشجع الآخرين على احترامها. | يوضح بعض مسؤولياته تجاه التعلم مع ذكر أمثلة محدودة. / يطبق بعض السلوكيات الإيجابية في معظم المواقف التعليمية مع حاجة إلى تذكير أحياناً. / يُظهر احتراماً للبيئة المدرسية ويلتزم بالمسؤولية في كثير من المواقف. | يذكر مسؤوليات بسيطة أو غير مكتملة تجاه التعلم والمدرسة.  / يحاول تطبيق السلوكيات الإيجابية ويحتاج إلى متابعة وتوجيه مستمر. / يُظهر احتراماً محدوداً للبيئة المدرسية ويحتاج إلى تعزيز سلوك المسؤولية والانضباط.
حقوقي | التعلم والتعلم الذاتي وتحمل المسؤولية في التطور الذاتي | التعرف إلى المؤسسات التعليمية المختلفة. | ذكر أنواع المؤسسات التعليمية. | يسمي أنواع المؤسسات التعليمية بدقة، ويحدد بوضوح مستوى التعليم الذي تقدمه كل مؤسسة. / يميز بوضوح بين أدوار المؤسسات التعليمية، ويقدم أمثلة متنوعة لمؤسسات تعليمية في منطقته أو في فلسطين. / يُظهر احتراماً واضحاً للمؤسسات التعليمية، ويلتزم بسلوكيات إيجابية تعكس تقديره لدورها في المجتمع. | يسمي بعض المؤسسات التعليمية ويحدد مستوى التعليم لبعضها. / يميز بين بعض أدوار المؤسسات التعليمية ويذكر أمثلة محدودة لمؤسسات تعليمية. / يُظهر احتراماً للمؤسسات التعليمية في معظم المواقف التعليمية والحياتية. | يذكر أمثلة محدودة أو غير مكتملة عن المؤسسات التعليمية. / يحاول التمييز بين أدوار المؤسسات التعليمية مع حاجة إلى دعم وتوجيه. /  يُظهر احتراماً محدوداً للمؤسسات التعليمية ويحتاج إلى تشجيع لتعزيز تقديره لدورها.
حقوقي | التعلم والتعلم الذاتي وتحمل المسؤولية في التطور الذاتي | تقدير قيمة التعليم في بناء الفرد والمجتمع. | استنتاج أهمية التعليم. | يوضح أهمية التعليم للفرد والمجتمع بوضوح، ويستنتج بدقة دعوة القرآن الكريم للعلم من سورة العلق، ويذكر أمثلة متنوعة لمهن تتطلب التعليم. / يربط بوضوح بين التعليم والنجاح في الحياة اليومية، ويقدم أمثلة واقعية ومتنوعة تدعم أفكاره. / يُظهر تقديراً عالياً للعلم، ويشارك بإيجابية في التعلم، ويحرص على تطوير نفسه باستمرار. | يوضح بعض أهمية التعليم، ويذكر فكرة عامة عن دعوة الإسلام للعلم مع أمثلة محدودة للمهن. / يربط بين التعليم والنجاح في بعض المواقف الحياتية مع حاجة إلى مزيد من التوضيح. / يُظهر اهتماماً بالتعلم ويشارك أحياناً في الأنشطة التعليمية وتطوير ذاته. | يذكر معلومات بسيطة أو غير مكتملة حول أهمية التعليم ودور العلم في الحياة. / يحاول الربط بين التعليم والنجاح بأمثلة محدودة أو غير مترابطة. /  يُظهر اهتماماً محدوداً بالتعلم ويحتاج إلى تشجيع للمشاركة والاستمرار في التعلم.
حقوقي | التواصل والتعبير عن الذات والمشاركة والتفاعل الإيجابي مع الاخرين ضمن قيم الاحترام والمسؤولية | إدراك حق الطفل في اللعب والترفيه ودور اللعب في النمو المتكامل للطفل. | الوعي بحقه في اللعب وادراك أهمية اللعب له كطفل | يوضح أهمية اللعب وآثاره المختلفة في الجوانب الجسدية والنفسية والاجتماعية بأمثلة واضحة ومتنوعة، ويتحدث بثقة عن لعبته المفضلة وأسباب اختياره لها. / يشارك بفاعلية في اللعب المنظم، ويشرح اللعبة المفضلة له بوضوح وتسلسل، من حيث الطريقة والأدوات وعدد اللاعبين وآلية الفوز.  / ينظم وقته بفاعلية بين التعلم والترفيه، ويلتزم بالواجبات والأنشطة التعليمية والترفيهية بصورة متوازنة.  / يُظهر تعاوناً واحتراماً والتزاماً بالقواعد، ويتفاعل بإيجابية ويشجع الآخرين أثناء اللعب. | يوضح بعض أهمية اللعب وآثاره، مع أمثلة محدودة، ويتحدث عن لعبته المفضلة بصورة عامة.  / يشارك في اللعب ويشرح بعض عناصر اللعبة، مع حاجة إلى مزيد من التنظيم أو التوضيح. / يوازن بين اللعب والتعلم في معظم الأوقات مع حاجة إلى تذكير أو توجيه أحياناً. / يُظهر احتراماً والتزاماً بالقواعد في معظم المواقف أثناء اللعب. | يذكر معلومات بسيطة أو غير مكتملة حول أهمية اللعب أو لعبته المفضلة. / يحاول المشاركة في اللعب وشرح اللعبة مع حاجة إلى دعم وتوجيه.  / يحاول الموازنة بين اللعب والتعلم ويحتاج إلى دعم مستمر لتنظيم وقته. / يُظهر سلوكاً إيجابياً محدوداً أثناء اللعب ويحتاج إلى تعزيز مهارات التعاون والاحترام.
حقوقي | التواصل والتعبير عن الذات والمشاركة والتفاعل الإيجابي مع الاخرين ضمن قيم الاحترام والمسؤولية | الالتزام بالسلوكيات الإيجابية أثناء اللعب. | استنتاج السلوكات الصحيحة في اللعب. | يحدد السلوكيات الصحيحة أثناء اللعب بدقة، ويبين أهمية الالتزام بها بأمثلة واضحة. / يطبق قواعد اللعب الآمن والمنظم باستمرار، ويلتزم بالتعليمات أثناء الأنشطة المختلفة. / يُظهر تعاوناً واحتراماً وتسامحاً واضحاً مع الآخرين، ويتقبل الفوز والخسارة بروح رياضية. | يحدد بعض السلوكيات الصحيحة أثناء اللعب مع أمثلة محدودة.  / يطبق معظم قواعد اللعب الآمن مع حاجة إلى تذكير أحياناً.  / يُظهر روح التعاون والاحترام في معظم مواقف اللعب. | يذكر سلوكيات بسيطة أو غير مكتملة تتعلق بآداب اللعب. / يحاول تطبيق قواعد اللعب ويحتاج إلى متابعة وتوجيه مستمر. / يُظهر سلوكاً إيجابياً محدوداً أثناء اللعب ويحتاج إلى تعزيز قيم التعاون والتسامح.
حقوقي | التواصل والتعبير عن الذات والمشاركة والتفاعل الإيجابي مع الاخرين ضمن قيم الاحترام والمسؤولية | فهم حق التعبير عن الرأي. | معرفة معنى الحق في التعبير | يوضح مفهوم حق التعبير عن الرأي وأهميته بوضوح، ويذكر أمثلة متنوعة من الحياة اليومية.  / يعبر عن أفكاره بوضوح وثقة مستخدماً أسلوباً مهذباً ومنظماً في الحوار والنقاش. / يُظهر احتراماً واضحاً لآراء الآخرين، ويتقبل الاختلاف بروح إيجابية ومتسامحة. | يوضح معنى حق التعبير عن الرأي بصورة عامة مع أمثلة محدودة.  / يعبر عن أفكاره بصورة مفهومة مع حاجة إلى مزيد من التنظيم أو التوضيح.  / يُظهر احتراماً لآراء الآخرين في معظم المواقف الحوارية. | يذكر معلومات بسيطة أو غير مكتملة حول حق التعبير عن الرأي. / يحاول التعبير عن أفكاره بعبارات محدودة ويحتاج إلى دعم وتشجيع. / يُظهر تقبلاً محدوداً لآراء الآخرين ويحتاج إلى تعزيز مهارات الحوار والاحترام.
حقوقي | التواصل والتعبير عن الذات والمشاركة والتفاعل الإيجابي مع الاخرين ضمن قيم الاحترام والمسؤولية | استخدام أساليب متنوعة للتعبير عن الرأي. | تبيان أشكال التعبير عن الرأي | يوضح أشكال التعبير عن الرأي بدقة، ويبين أهمية استخدامها بصورة سلمية ومسؤولة. / يستخدم وسائل متنوعة بفاعلية، مثل الحديث والرسم والكتابة والمسيرات والمظاهرة، للتعبير عن أفكاره بأسلوب واضح ومنظم.  / يُظهر ثقة واضحة أثناء التعبير عن رأيه، ويحترم آراء الآخرين ويتقبل الاختلاف بإيجابية. | يوضح بعض أشكال التعبير عن الرأي مع أمثلة محدودة.  / يستخدم بعض وسائل التعبير عن الرأي بصورة مناسبة مع حاجة إلى دعم أو توجيه. / يُظهر ثقة واحتراماً لآراء الآخرين في معظم المواقف الحوارية. | يذكر أشكالاً بسيطة أو غير مكتملة للتعبير عن الرأي. / يحاول استخدام وسائل التعبير عن الرأي ويحتاج إلى تشجيع لتنظيم أفكاره. / يُظهر ثقة محدودة في التعبير عن رأيه ويحتاج إلى تعزيز مهارات الاحترام والحوار.
حقوقي | التواصل والتعبير عن الذات والمشاركة والتفاعل الإيجابي مع الاخرين ضمن قيم الاحترام والمسؤولية | ممارسة التعبير عن الرأي بطريقة مسؤولة ومحترمة. | استنتاج الممارسات الإيجابية والسلبية في التعبير عن الرأي. | يميز بدقة بين أساليب التعبير الإيجابية والسلبية، ويذكر آداب التعبير عن الرأي مع أمثلة واضحة تشمل احترام القوانين وعدم استخدام العنف والمحافظة على الممتلكات. / يعبر عن رأيه بوضوح واحترام، ويستخدم أسلوباً إيجابياً في الحوار والنقاش دون إساءة للآخرين.  / يُظهر احتراماً واضحاً للتنوع الفكري، ويتقبل الآراء المختلفة ويتفاعل بإيجابية أثناء الحوار. | - يميز بين بعض أساليب التعبير الإيجابية والسلبية، ويذكر بعض آداب التعبير عن الرأي.  / - يعبر عن رأيه بصورة مناسبة في معظم المواقف مع حاجة إلى تذكير أحياناً بآداب الحوار.  / - يُظهر احتراماً لآراء الآخرين ويشارك بإيجابية في معظم المواقف الحوارية. | - يذكر معلومات بسيطة أو غير مكتملة حول أساليب وآداب التعبير عن الرأي. / - يحاول التعبير عن رأيه ويحتاج إلى دعم لتعزيز أسلوب الحوار الإيجابي. / - يُظهر تقبلاً محدوداً للآراء المختلفة ويحتاج إلى تعزيز قيم الحوار والتسامح.
مدني | المواطنة والمسؤولية المجتمعية | التمييز بين الممتلكات العامة والخاصة. | الوعي بمفاهيم الممتلكات العامة والممتلكات الخاصة ويقدم أمثلة عليها | - يوضح مفهوم الممتلكات العامة والخاصة بدقة، ويصنف الممتلكات بحسب ملكيتها مع تقديم أمثلة متنوعة وصحيحة.  / - يصنف الممتلكات بدقة إلى عامة وممتلكات خاصة في مواقف حياتية مختلفة، ويجمع صوراً مناسبة ويعرضها ويناقشها بوضوح وثقة.  / - يُظهر احتراماً واضحاً لحقوق الملكية، ويحافظ على الممتلكات العامة والخاصة ويدعو الآخرين إلى المحافظة عليها. | - يوضح مفهوم الممتلكات العامة والخاصة ويذكر بعض الأمثلة المناسبة، معتمدا على المعلم. / - يصنف معظم الممتلكات بصورة صحيحة، ويشارك في عرض الصور ومناقشتها مع حاجة إلى بعض التوجيه. / - يُظهر احتراماً للممتلكات ويلتزم بالمحافظة عليها في معظم المواقف. | - يذكر معلومات بسيطة حول الممتلكات العامة والخاصة، مع وجود الأخطاء. / - يحتاج إلى دعم ومتابعة في التصنيف والعرض والمناقشة. / - يُظهر احتراماً محدوداً للممتلكات ويحتاج إلى تعزيز السلوك الإيجابي تجاهها.
مدني | المواطنة والمسؤولية المجتمعية | المحافظة على الممتلكات العامة والخاصة. | إدراك أهمية الممتلكات العامة والخاصة وسبل المحافظة عليها، ويستنتج دوره تجاهها | - يوضح أهمية الممتلكات العامة والخاصة بدقة، ويبين دوره تجاهها، ويقترح طرقاً متعددة وواقعية للمحافظة عليها.  / - يطبق سلوكيات إيجابية باستمرار في المحافظة على الممتلكات داخل المدرسة والمجتمع، ويحلل السلوكيات الضارة بالممتلكات ويقيّمها. / - يصمم رسوماً وشعارات معبرة وهادفة للمحافظة عليها، ويلونها.  / - يُظهر حساً عالياً بالمسؤولية والانتماء، ويحافظ على الممتلكات ويشجع الآخرين على حمايتها. | - يوضح أهمية الممتلكات ويقترح بعض الطرق للمحافظة عليها.  / - يطبق بعض السلوكيات الإيجابية، ويحلل بعض السلوكيات الضارة بالممتلكات بمساعدة المعلم. / - يشارك في الرسم أو تصميم الشعارات مع حاجة إلى مزيد من التوجيه.  / - يُظهر مسؤولية واحتراماً للممتلكات في معظم المواقف الصفية والحياتية. | - يذكر معلومات بسيطة حول أهمية الممتلكات والمحافظة عليها. / - يحتاج إلى توجيه وإرشاد لتطبيق السلوكيات الإيجابية. / - يعبر بالرسم ويحتاج إلى دعم ومتابعة. / - يُظهر مسؤولية محدودة تجاه الممتلكات ويحتاج إلى تعزيز قيم المحافظة والانتماء.
مدني | المواطنة والمسؤولية المجتمعية | الالتزام بالنظام في الحياة اليومية. | إدراك أهمية النظام في حياتنا ويستنتج دوره في الحفاظ على النظام | يوضح أهمية النظام وآثاره الإيجابية في الحياة والدراسة بدقة، ويذكر أمثلة متنوعة لأماكن ومواقف تتطلب الالتزام بالنظام. /  يلتزم بالقواعد والتعليمات باستمرار، وينظم أعماله بفاعلية. / يقترح حلولاً مناسبة للمشكلات، ويحاكم التصرفات غير المنظمة. / يؤدي دوره بكفاءة في تنظيم الأنشطة والعمل الجماعي، مثل تنظيم يوم مفتوح ضمن عمل جماعي منظم ويحدد احتياجات لجنة النظام والمهام التي ستقوم فيها. / يُظهر انضباطاً عالياً ومسؤولية واضحة، ويحترم القوانين والأنظمة ويشجع الآخرين على الالتزام بها. | - يوضح أهمية النظام بصورة عامة، ويذكر بعض الأماكن أو المواقف التي تتطلب الالتزام به.  / - يستنتج بمساعدة المعلم دوره في الحفاظ على النظام، ويلتزم بالنظام في معظم المواقف،  / - يقترح بعض الحلول للمشكلات. / - يشارك في الأنشطة الجماعية مع حاجة إلى توجيه محدود، كتنظيم يوم مفتوح. / - يُظهر احتراماً للقوانين والأنظمة ويتحمل المسؤولية في معظم المواقف. | - يظهر فهمًا محدودًا لأهمية النظام في حياتنا. / - يحتاج إلى توجيه مستمر للالتزام بالنظام وإلى دعم ومتابعة لتنظيم أعماله وأداء مهامه. / - يشارك في الأنشطة الجماعية بشكل محدود. / - يُظهر التزاماً محدوداً بالقوانين والأنظمة ويحتاج إلى تعزيز قيم الانضباط والمسؤولية.
مدني | المواطنة والمسؤولية المجتمعية | استخدام الوسائل المساعدة في تنظيم الحياة اليومية. | يسمي الوسائل والأدوات التي تساهم في تحقيق النظام | يسمي أدوات التنظيم المختلفة بدقة، ويوضح دور الأجهزة والتطبيقات التكنولوجية في تنظيم الوقت والمهام بأمثلة واضحة.  / يستخدم الجداول والتقويمات أو الأدوات الرقمية بفاعلية لتنظيم وقته ومهامه وإنجاز أعماله في المواعيد المحددة. / يُظهر التزاماً واضحاً بالتخطيط والتنظيم، ويحرص على ترتيب أعماله وإنجاز مسؤولياته بانتظام. مثل الجداول والتقويمات والتطبيقات الرقمية المناسبة لعمره. | - يسمي بعض أدوات التنظيم ويوضح بصورة عامة أهمية التكنولوجيا في تحقيق النظام. / - يستخدم بعض أدوات التنظيم بصورة مناسبة مع حاجة إلى تذكير أو توجيه أحياناً. / - يُظهر اهتماماً بالتخطيط والتنظيم في معظم المواقف الدراسية والحياتية. | يذكر أدوات محدودة للتنظيم أو يقدم معلومات غير مكتملة حول دور التكنولوجيا. / يحتاج إلى دعم لاستخدام أدوات التنظيم المناسبة ولتنظيم وقته ومهامه. / يُظهر التزاماً محدوداً بالتخطيط والتنظيم ويحتاج إلى تعزيز هذه العادة.
