كفايات الصف الأول- الرابع الأساسي 2026-2027
كفايات الصف الثالث الأساسي 2026-2027
[TABLE 1]
المجال المعرفي | كفايات الممارسة الرئيسة | الكفايات الفرعية المستقلة بنيوياً | المعايير التفصيلية | نتاجات التعلم | مؤشرات الأداء | مؤشرات الأداء | مؤشرات الأداء | القيم
الهندسة | ممارسة استخدام الأدوات بذكاء | التعرف إلى المفاهيم الهندسية | يميز القطعة المستقيمة والشعاع والمستقيم. | يسمي القطعة والشعاع والمستقيم بالرموز ويرسمها ويقارن بينها من حيث / (نقطة البداية والنهاية وطريقة التسمية). | يسمي القطعة والشعاع والمستقيم بالرموز ويرسمها بطريقة صحيحة ويقارن بينها من حيث(نقطة البداية والنهاية وطريقة التسمية) | يسمي القطعة والشعاع والمستقيم بالرموز ويحاول رسمها ويخلط بينها من حيث( نقطة البداية والنهاية). | يخلط بين تسمية الشعاع والمستقيم، ويحاول رسم قطعة مستقيمة على الاقل. | تقدير النظام والترتيب والدقة في رسم الأشكال والزخارف الهندسية،التأمل في جمال الأشكال الهندسية( ابداع الخالق)،تذوق الجمال الرياضي،حب الاستكشاف، المثابرة، التعاون، احترام آراء الآخرين، الثقة بالنفس، التفكير البصري المكاني
الهندسة | ممارسة استخدام الأدوات بذكاء | التعرف إلى المفاهيم الهندسية | تسمية الزاوية مع تحديد عناصرها | يسمي زاوية من شعاعين بثلاث طرق مختلفة، ويحدد عناصرها. | يسمي زاوية من شعاعين / بثلاث طرق مختلفة، يحدد عناصرها بدقة. | يسمي زاوية من شعاعين بطريقة واحدة، ويحدد بعض عناصرها. | يسمي زاوية بطريقة واحدة، ولا يمكنه تحديد عناصرها. | 
الهندسة | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات الهندسية في التمثيل | يستخدم المسطرة في الرسم | يستخدم المسطرة لرسم قطعا مستقيمة وأشكالا هندسية ذات أطوال محددة. | يرسم قطعاً مستقيمة بأطوال معينة بالسنتمتر مستخدماً المسطرةبدقة(محاذاةالصفر / قراءةالتدريجات) | يستخدم المسطرة لرسم قطعا مستقيمة، ويحتاج لمساعدة في قياس أطوالها بدقة. | يمسك المسطرة لربط نقطتين مع وجود انحناءات ولا يمكنه الرسم الدقيق بها. | تذوّق الجمال والتناسق والنظام والترتيب في الأشكال الهندسية والتأمّل في إبداع الخالق، المحافطة على نظافة الأدوات والبيئة المحيطة،الدقة،التفكير البصري ، تنظيم العمل، المثابرة، تحمل المسؤولية، التعاون،احترام آراء الآخرين،
الهندسة | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات الهندسية في التمثيل | يرسم أضلاع الزاوية ويصنفها وفقا لنوعها | يرسم أضلاع الزاوية بالمسطرة وفقا لنوعها(حادة/قائمة /منفرجة/مستقيمة) | يرسم أضلاع الزاوية بالمسطرة وفقا لنوعها، مع اعطاء أمثلة من الحياةعليها (عقارب الساعة/حافة...) | يرسم أضلاع الزاوية بالمسطرة، يخلط بين أنواعها أي لا يمكنه التمييز بينها. | يحاول رسم أضلاع الزاوية بالمسطرة بمعلومية نقطة البداية وضلع. ولا يميز بين أنواعها | 
الهندسة | ممارسة استخدام الأدوات بذكاء | توظيف الأدوات الهندسية في التمثيل | يستخدم الأدوات في بناء الأشكال( المربع، المستطيل، المثلث) | يوظف الأدوات الهندسية وشبكات المربعات في بناء ورسم الأشكال المستوية( المربع، المستطيل) | يبني أشكالاً هندسية (مربع، مستطيل) على شبكة المربعات مستخدماً المسطرة بشكل صحيح تماماً. | يبني الأشكال الهندسية (المربع، المستطيل) بتتبع نقاط محددة مسبقاً، ويحاول إكمال الأشكال الناقصة. | يتعرف على شبكة المربعات ويحاول رسم خطوط عليها ولا يمكنه بناء أشكال متكاملة. | 
الهندسة | ممارسة استخدام الأدوات بذكاء | تحليل العلاقات المكانية والهندسية | يستخدم النماذج الهندسية في التفسير | يستخدم النماذج الهندسية في تفسير وشرح العلاقات بين المربع والمستطيل. | يستخدم النماذج الهندسية الملموسة لتفسير الفروق بين الأشكال المستوية ( المربع، المستطيل). | يستخدم النماذج الهندسية الملموسة لتفسير الفروق بين الأشكال المستوية ( المربع، المستطيل). ويحاول المقارنة بينها. | يشير إلى النموذج الهندسي المطابق لاسم الشكل الهندسي( المربع، المستطيل) ولا يمكنه تقديم أي تفسير علمي. | تقدير النظام والترتيب والدقة في رسم الأشكال والزخارف الهندسية،التفكير المنطقي والتحليلي، ،تذوق الجمال الرياضي،التأمل في ابداع الخالق، حب الاستكشاف، المثابرة والعاون، احترام آراء الآخرين، الثقة بالنفس، تعزيز المواطنة الصالحة، والانتماء للوطن
الهندسة | ممارسة استخدام الأدوات بذكاء | تحليل العلاقات المكانية والهندسية | يتعرف إلى الأشكال الهندسية( المربع، المستطيل، المثلث) | يتعرف إلى الأشكال الهندسية المستوية ( المربع، المستطيل، المثلث) مع تسميتها. | يتعرف إلى الأشكال الهندسية (المربع، المستطيل، المثلث) مع تسميتها جميعها بدقة. | يتعرف إلى معظم الأشكال الهندسية (المربع، المستطيل، المثلث) ويسميها. | يتعرف إلى بعض الأشكال الأساسية( المربع، المستطيل، المثلث) ويحتاج إلى دعم لتسميتها. | 
الهندسة | ممارسة استخدام الأدوات بذكاء | تحليل العلاقات المكانية والهندسية | يحدد خصائص الأشكال الهندسية( المربع، المستطيل، المثلث) | يحدد خصائص الأشكال الهندسية (عدد الأضلاع، عدد الرؤوس، عدد الزوايا) | يحدد خصائص الأشكال ( المربع، المستطيل، المثلث) من حيث عدد الأضلاع وعدد الرؤوس بشكل صحيح. | يحدد خصائص الأشكال ( المربع، المستطيل، المثلث) مستعينا بالنماذج. | يعدّ أضلاع شكل مستوٍ بسيط ببطء ويخلط بين مفهوم الضلع والرأس. | 
الهندسة | ممارسة استخدام الأدوات بذكاء | تحليل العلاقات المكانية والهندسية | يصنف الأشكال( المربع، المستطيل، المثلث) وفقا لخصائصها | يصنف الأشكال الهندسية( المربع، المستطيل، المثلث) وفقاً لخصائصها المشتركة (عدد الأضلاع، عدد الرؤوس، وجود زوايا قائمة) | يصنف الأشكال( المربع، المستطيل، المثلث) وفقالأكثر من خاصية هندسية بشكل صحيح. | يصنف الأشكال( المربع، المستطيل، المثلث) وفقالخاصية واحدة صحيحة. | يصنف بعض الأشكال( المربع، المستطيل) المتشابهة بمساعدة. | 
الهندسة | ممارسة استخدام الأدوات بذكاء | تحليل العلاقات المكانية والهندسية | يصنف المثلث حسب زواياه (حاد/قائم / منفرج). | يميز نوع المثلث حسب الزوايا . | يميز نوع المثلث حسب الزوايا ويعطي أمثلة على بعض أنواعها بشكل صحيح. | يميز نوع المثلث حسب زواياه . | يحاول تمييز بعض انواع المثلثات حسب الزوايا ولكن بحاجة الى مساعدة. | 
الهندسة | ممارسة النمذجة الرياضية | ربط المفاهيم الهندسية بالسياقات الواقعية | يربط الأشكال الهندسية( المربع، المستطيل، المثلث)بأشياء من البيئة | يربط المفاهيم والأشكال الهندسية بعناصر مختلفة من البيئة المحيطة | يربط الأشكال الهندسية (المربع، المستطيل، المثلث) بأشياء من البيئة بدقة، ويعطي أمثلة متنوعة وصحيحة لكل شكل. | يربط معظم الأشكال الهندسية بأشياء من البيئة بشكل صحيح، إلا أنه يحتاج إلى دعم في بعض الأشكال أو في تنويع الأمثلة. | يحاول ربط الأشكال الهندسية بأشياء من البيئة، لكنه يواجه صعوبة في تمييز بعض الأشكال أو إيجاد أمثلة مناسبة لها. | التعاون واحترام آراء الآخرين والعمل الجماعي،تقدير النظام والترتيب والدقة في رسم الأشكال والزخارف الهندسية،التأمل في ابداع الخالق،تذوق الجمال الرياضي، تقدير النظام والتناسق، حب الاستكشاف، الثقة بالنفس، المثابرة ، تنظيم الذات الانتماء للوطن، التفكير التحليلي، الوعي البيئي، المحافظة على الموارد الطبيعية،
الهندسة | ممارسة النمذجة الرياضية | ربط المفاهيم الهندسية بالسياقات الواقعية | يتعرف إلى مفهوم (المحيط والمساحة ) للأشكال الهندسية | يتعرف الى مفهوم المحيط والمساحة للأشكال الهندسية . | يفسر الفرق بين قياس السطح وحدود الشكل باستخدام شبكة المربعات بشكل صحيح. | يحسب المساحة والمحيط دون تفسير الفرق بينهما | يخلط بين مفهومي المساحة والمحيط ويحتاج إلى مساعدة من قبل المعلم. | 
الهندسة | ممارسة النمذجة الرياضية | ربط المفاهيم الهندسية بالسياقات الواقعية | يوظف المفاهيم الهندسية (المحيط ) في مواقف حياتية. | يفسر النتائج الهندسية المتعلقة بالمحيط في سياقات حياتية واقعية | يفسر النتائج المتعلقة بمفهوم المحيط في سياقات حياتية واقعية بشكل صحيح. | يفسر النتائج المتعلقة بمفهوم المحيط في سياقات حياتية واقعية في معظم الحالات. | يحاول تفسير النتائج المتعلقة بمفهوم المحيط في سياقات حياتية واقعية. | 
الهندسة | ممارسة النمذجة الرياضية | ربط المفاهيم الهندسية بالسياقات الواقعية | يوظف المفاهيم الهندسية (المساحة) في مواقف حياتية. | يفسر النتائج الهندسية المتعلقة بالمساحة في سياقات حياتية واقعية | يفسر النتائج المتعلقة بمفهوم المساحة في سياقات حياتية واقعية بشكل صحيح. | يفسر النتائج المتعلقة بمفهوم المساحة في سياقات حياتية واقعية في معظم الحالات. | يحاول تفسير النتائج المتعلقة بمفهوم المساحة في سياقات حياتية واقعية. | 
الهندسة | ممارسة النمذجة الرياضية | ربط المفاهيم الهندسية بالسياقات الواقعية | يتعرف إلى المجسمات الهندسية (الهرم الرباعي، المخروط) محددا عناصرها. | يميز بين الهرم الرباعي والمخروطمحددا عناصرهما بدقة | يميز بين الهرم الرباعي والمخروطمحددابعض عناصرهمابدقة وطلاقة | يحاول أن يحدد عناصر المجسمين، لكنه يخطئ في التمييز بينها. | يحاول أن يتعرف بعض العناصر ولا يستطيع أن يحددها ويخطئ في التمييز بينها. | 
الهندسة | ممارسة النمذجة الرياضية | ربط المفاهيم الهندسية بالسياقات الواقعية | يفسر العلاقات المكانية في البيئة المحيطة | يستخدم النماذج الهندسيةلتمثيل الهرم الرباعي، المخروط. | يستخدم النماذج الهندسية بدقة لتمثيل المخروط والهرم الرباعي في مواقف متنوعة بشكل صحيح. | يستخدم النماذج الهندسية لتمثيل الهرم الرباعي والمخروط في معظم الحالات، إلا أنه قد يخلط أحيانًا بين استخدام النماذج للمجسمين. | يحاول استخدام النماذج الهندسية لتمثيل المخروط والهرم الرباعي، لكنه يواجه صعوبة في اختيار النموذج المناسب أو التمييز بينهما. | 
الهندسة | ممارسة الدقة الرياضية | استخدام اللغة الهندسية الدقيقة | يستخدم المفاهيم والرموز الهندسية | يستخدم المصطلحات الهندسية (محيط، مساحة، مجسم، هرم رباعي، مخروط، مربع، مستطيل، مثلث،...) بصورة صحيحة | يستخدم المصطلحات الهندسية بدقة في وصف الأشكال والخصائص ويفسركل مصطلح عند الحاجة | يستخدم معظم المصطلحات بصواب لكنه يخلط بين(المحيط والمساحة) (مربع ، مستطيل). | يستخدم بعض المصطلحات الهندسية بشكل غير دقيق أو يخلط بين مصطلحات متقاربة في المعنى. | الدقة، التفكير المنطقي، التواصل الفعال، تحمل المسؤولية في التعبير ،الثقة بالنفس، تذوق الجمال في الصياغة الرياضية، احترام آراء الآخرين،تقدير النظام والتناسق
القياس | ممارسة استخدام الأدوات بذكاء | اختيار أدوات القياس المناسبة ويوظفها | يختار وحدة القياس المناسبة للأطوال | يختاروحدة القياس المعيارية المناسبة لقياس الطول. | يختاروحدة القياس المناسبة للطول ويبرر اختياره | يختار الوحدة المناسبة في معظم المواقف المعطاة لقياس الطول. | يميز بعض الوحدات المناسبة لقياس الطول بمساعدة المعلم . | تقدير قيمة الوقت ، التنظيم والانضباط في المواعيد،الاتقان والدقة والنظام في القياس، تنظيم العمل، تحمل المسؤولية، المثابرة والتعاون،المحافظة على الأدوات والموارد، ترشيد استخدام الموارد الطبيعية
القياس | ممارسة استخدام الأدوات بذكاء | اختيار أدوات القياس المناسبة ويوظفها | يختار وحدة القياس المناسبة للأزمنة | يختاروحدة القياس المعيارية المناسبة لقياس الزمن | يختاروحدة القياس المناسبة للزمن ويبرر اختياره | يختار الوحدة المناسبة في معظم المواقف المعطاة لقياس الزمن. | يميز بعض الوحدات المناسبة لقياس الزمن بمساعدة المعلم . | 
القياس | ممارسة استخدام الأدوات بذكاء | اختيار أدوات القياس المناسبة ويوظفها | يختار وحدة القياس المناسبة للكتل | يختاروحدة القياس المعيارية المناسبة للكتل. الكتل. | يختاروحدة القياس المناسبة للكتلةويبرر اختياره | يختار الوحدة المناسبة في معظم المواقف المعطاة لقياس الكتلة. | يميز بعض الوحدات المناسبة لقياس الكتلة بمساعدة المعلم . | 
القياس | ممارسة استخدام الأدوات بذكاء | اختيار أدوات القياس المناسبة ويوظفها | يستخدم أدوات القياس ( المسطرة، الميزان، الساعة) بصورة صحيحة | يختار أداة القياس المناسبة( المسطرة، الميزان، الساعة) | يختارالأداةالأنسب ( المسطرة، الميزان، الساعة) مبررااختيارهبالدقةالمطلوبةوطبيعةالشيءالمقاس. | يختارالأداةالصحيحة( المسطرة، الميزان، الساعة) لكنهلايبرراختياره | يستخدمأيأداةمتاحةبصرفالنظرعنملاءمتهالحجمأونوعالشيءالمقاس. | 
القياس | ممارسة استخدام الأدوات بذكاء | اختيار أدوات القياس المناسبة ويوظفها | يقارن القياسات باستخدام أدوات مناسبة(المسطرة، الميزان، الساعة) | يقارن ويرتب قياسات الطول أوالكتلةأوالزمن باستخدام أدوات قياس مناسبة | يقارن ويرتب قياسات الطول أو الكتلة أو الزمن باستخدام أدوات القياس المناسبة بدقة وبطلاقة | يقارن قياسين أو أكثر باستخدام الأداة المناسبة مع أخطاء محدودة | يقارن بين الأشياء بالنظر فقط ولا يستطيع استخدام أدوات القياس للمقارنة الدقيقة. / يقارن الأشياء اعتماداً على الملاحظة المباشرة فقط | 
القياس | ممارسة استخدام الأدوات بذكاء | توظيف مهارات القياس في مواقف حياتية متنوعة | يقيس الأطوال بوحدة قياس مناسبة | يقيس أطوال الأشياء مستخدماً وحدات القياس المعيارية (سم، م). | يقيس الأطوال ويسجل النتائج باستخدام الوحدات المناسبة بدقة | يقيس الأطوال باستخدام المسطرة مع أخطاء بسيطة في القراءة أو التسجيل. | يستخدم المسطرة لقياس أطوال بسيطة بمساعدة مباشرة | الدقة والإتقان في استخدام أدوات القياس ،تقدير قيمة الوقت، التنظيم والانضباط في المواعيد،التفكير المنطقي،تحمل المسؤولية،المثابرة، الثقة بالنفس، احترام آراء الآخرين، العمل بروح الفريق،تذوق الجمال الرياضي
القياس | ممارسة استخدام الأدوات بذكاء | توظيف مهارات القياس في مواقف حياتية متنوعة | يقيس الكتل بوحدة قياس مناسبة | يقيس كتل أجسام مختلفة مستخدماً الميزان ووحدات القياس (غم، كغم). | يقيس الكتل باستخدام الميزان ويعبر عنها بالوحدة المناسبة بدقة | يقرأ قياسات الكتل الأساسية بصورة صحيحةلكنه قد يخطىء بالتعبير عن الوحدة المناسبة لبعض القياسات | يتعرف إلى استخدام الميزان ويقرأ بعض القيم بمساعدة | 
القياس | ممارسة استخدام الأدوات بذكاء | توظيف مهارات القياس في مواقف حياتية متنوعة | يقيس الأزمنة / يقيس الوقت باستخدام وحدات زمنية مناسبة (الساعة ، نصف ساعة، ثلث ساعة، ربع ساعة، إلا ربع، إلا ثلث) | يقرأ الوقت باستخدام الساعة في مواقف حياتية متنوعة. | يقرأ الوقت من الساعة ذات العقارب والرقمية بدقة. | يقرأ الساعات الكاملة وأنصاف الساعات . | يتعرف على شكل الساعة ويحاول القراءة التقريبية بمساعدة دائمة من المعلم. | 
القياس | ممارسة النمذجة الرياضية | ربط القياس بالسياقات الحياتية | يوظف القياس في مواقف حياتية | يوظف مهارات القياس المختلفة لحل مسائل ومشكلات حياتية واقعية | يوظف مهارات القياس في حل مشكلات حياتية متنوعة بصورة صحيحة | يطبق القياس في سياقات مألوفة، ويحاول حل مسائل حياتية بسيطة. | يشارك في حل مشكلات بسيطة تتطلب القياس بمساعدة مباشرة | تقدير العناية والإتقان في القياس في الحياة العملية، التفكير التقديري، اتخاذ القرار، المرونة،اتخاذ قرارات سليمة،الدقة في الحكم، تحمل المسؤولية، تنظيم التفكير في المواقف الحياتية، الوعي بالاستهلاك في الحياة اليومية، الوعي بالمحيط المادي وتنظيمه
القياس | ممارسة النمذجة الرياضية | ربط القياس بالسياقات الحياتية | يفسر نتائج القياس | يفسر دلالات نتائج القياس التي يحصل عليها | يفسر نتائج القياس ويربطها بالموقف الحياتي بصورة صحيحة. | يفسر نتائج القياس في مواقف مألوفة مع بعض التوجيه. | يذكر نتيجة القياس ويحتاج الى مساعدة لتفسيرها. | 
القياس | ممارسة النمذجة الرياضية | ربط القياس بالسياقات الحياتية | يقارن نتائج القياس في ضوء الواقع | يقارن نتائج القياس بالمعايير الواقعية والتقديرات الذهنية للتحقق من صحتها | يقارن بين قياسه الفعلي وتقديره الأولي للشيء ويطور قدرته على تعديل التقدير بناءً على الواقع. | يقارن نتائجه مع نتائج زملائه، ويحاول ربطها بالقيم المألوفة في الواقع. | يلاحظ الفروق الواضحة في النتائج عند الإشارة إليها ويحاول استيعاب سبب الاختلاف بمساعدة. | 
البيانات والإحصاء | ممارسة استخدام الأدوات بذكاء | تفسير التمثيلات البيانية المختلفة | يقرأ البيانات المجدولة | يقرأ البيانات الممثلة بالجداول البيانية | يقرأ البياناتويستخرج منها معلومات مباشرة وغير مباشرة للإجابة عن أسئلة تحليلية حول بيانات الجدول بشكل صحيح. | يقرأ قيم الجدول البياني ويجيب عن الأسئلة المباشرة المتعلقة بها. | يقرأ أرقاماً مفردة من الجدول بتوجيه مباشر ولا يستطيع تفسير الجدول ككل. | تعزيز المواطنة الصالحة، الانتماء للوطن، المسؤولية تجاه المجتمع، التفكير المنطقي،التفكير البصري التحليلي، حب الاستكشاف، التأمل، الدقة والترتيب والتنظيم،تقدير قيمة العلم والعلماء
البيانات والإحصاء | ممارسة استخدام الأدوات بذكاء | تفسير التمثيلات البيانية المختلفة | يستخرج المعلومات من تمثيلات بيانية متنوعة. | يستخرج استنتاجات ومعلومات متقدمة من تمثيلات بيانية متنوعة (صور، رموز) . | يحلل التمثيل البياني للإجابة عن أسئلة مركبة (مثل حساب المجموع أو الفرق بين فئتين) بشكل صحيح. | يطور قدراته في استخراج معلومات مباشرة من التمثيل، ويحاول الإجابة عن أسئلة المقارنة والزيادة. | يجيب عن أسئلة بسيطة جداً ومباشرة (مثل الاسم الأكثر تكراراً) ويحاول استيعاب الباقي بمساعدة. | 
البيانات والإحصاء | ممارسة استخدام الأدوات بذكاء | تنظيم البيانات وتمثيلها | ينظم البيانات في جداول | ينظم البيانات العشوائية المعطاة في جداول . | يفرز البيانات ويحولها إلى رموز ثم إلى أرقام وينظمها في جدول متكامل بشكل صحيح. | ينظم البيانات داخل جدول مصمم مسبقاً، ويحاول استخدام الرموز. | يفرز فئة واحدة من البيانات ويحاول وضعها في الجدول مع وجود أخطاء وتشتت يحتاج لتوجيه مستمر من المعلم. | التنظيم والدقة والترتيب ،التفكير التحليلي،اتخاذ القرارات، حب الاستكشاف، التأمل، تعزيز المواطنة الصالحة، المسؤولية تجاه المجتمع،
البيانات والإحصاء | ممارسة استخدام الأدوات بذكاء | تنظيم البيانات وتمثيلها | يختار التمثيل المناسب للبيانات | يختار طريقة التمثيل الأنسب (جداول، رموز، صور) لعرض البيانات . | يميز بين أنواع التمثيلات لاختيار التمثيل الأنسب للبيانات ويبرر اختياره. | يميز بين أنواع التمثيلات ويجد صعوبة في اختيار التمثيل الأنسب لتمثيل البيانات المعطاة. | يخلط بين أنواع التمثيلات ويحتاج إلى مساعدة في الاختيار. | 
البيانات والإحصاء | ممارسة النمذجة الرياضية | ربط البيانات بالسياقات الواقعية | يربط البيانات بمواقف حياتية | يربط مهارات جمع وتنظيم البيانات بمواقف وسياقات واقعية في حياته اليومية . | يجمع بيانات واقعية من محيطه الصفي وينظمها ليعكس موقفاً أو يحل مشكلة صفية بشكل صحيح. / مثل: تسجيل نفقات الكهرباء خلال فصل الشتاء وتفسير زيادتها | يجمع بيانات، ويحاول ربط نتائجها بقرارات ومواقف مألوفة. (قوائم المشتريات خلال شهر معين وفرزها إلى غذاء، منظفات، مشروبات،... | يلاحظ وجود بيانات في بيئته اليومية ويحاول المشاركة في جمعها بمساعدة وتوجيه مباشر. | التنظيم والدقة والترتيب، التفكير التحليلي، اتخاذ القرار السليم،الانتماء للوطن، احترام الواقع الاجتماعي والبيئي،الوعي بالبيانات المجتمعية، المسؤولية تجاه المجتمع
البيانات والإحصاء | ممارسة النمذجة الرياضية | ربط البيانات بالسياقات الواقعية | يفسر نتائج التمثيلات البيانية | يفسر النتائج المستخلصة من التمثيلات البيانية . | يفسر المعنى الرياضي والحياتي للتمثيلات البيانية ويطور مهارته في تقديم توصيات مبنية عليها | يطور قدراته في قراءة النتيجة الإجمالية، للتمثيلات البيانية ويحاول صياغة جمل تفسيرية واضحة حول دلالتها. | يردد القيم الظاهرة في التمثيل البياني ويحاول فهم معناها العام بمساعدة مستمرة من المعلم. | 
البيانات والإحصاء | ممارسة النمذجة الرياضية | ربط البيانات بالسياقات الواقعية | يوظف البيانات في الحياة اليومية | يوظفالتمثيلات البيانية لاتخاذ قرارات مبنية على هذه البيانات وحل مشكلات بسيطة في حياته اليومية . | يتخذ قراراً منطقياً وعملياً مبنياً على قراءة جدول بياني معروض أمامه بشكل مستقل وصحيح. / مثلا في بيانات المصروف الشهري لعائلة ما(خفض المبلغ المخصص لشراء الحلويات والسكاكر لزيادة المبلغ المخصص للفواكه والخضروات) | يوظف التمثيلات البيانية في مواقف صفية محددة، ويحاول توظيفها في شؤونه اليومية. | يتابع كيفية استخدام المعلم أو زملائه للبيانات ويحاول محاكاتهم بمساعدة وتوجيه مستمر. | 
